compound,ZA,ZB,a0(RS),a0(ZB),delta-E,delta-E1D,delta-E2D,delta-E3D,d1,d2,d3,a0,delta-EWZ
LiF,3,9,3.911,4.212,-0.059,0.101,-0.088,-0.048,3.783,0.246,2.60E-05,2.978,0.011
LiCl,3,17,4.966,5.33,-0.038,-0.051,-0.119,-0.059,2.483,0.171,3.96E-05,3.769,0.005
LiBr,3,35,5.311,5.688,-0.033,-0.081,-0.113,-0.047,2.228,0.148,6.01E-05,4.022,0.003
LiI,3,53,5.805,6.209,-0.022,-0.115,-0.089,-0.015,1.936,0.111,6.76E-05,4.39,0.002
BeO,4,8,3.584,3.762,0.43,0.733,0.56,0.569,9.171,0.221,0.001063,2.66,0.011
BeS,4,16,4.557,4.798,0.506,0.374,0.434,0.469,6.113,0.078,0.002946,3.393,-0.004
BeSe,4,34,4.834,5.084,0.495,0.314,0.428,0.465,5.597,0.044,0.003783,3.595,-0.004
BeTe,4,52,5.267,5.558,0.466,0.234,0.388,0.427,4.918,0.02,0.004386,3.93,-0.004
BN,5,7,3.462,3.583,1.713,1.651,1.581,1.556,17.009,0.133,0.002487,2.534,-0.014
BP,5,15,4.26,4.492,1.02,0.99,1.039,0.998,11.367,0.071,0.008685,3.177,-0.008
BAs,5,33,4.539,4.734,0.879,0.921,0.924,0.854,10.775,0.102,0.01155,3.347,-0.006
CC,6,6,3.496,3.534,2.638,2.605,2.698,2.672,25.143,0.005,0.001033,2.499,-0.024
NaF,11,9,4.504,4.965,-0.146,-0.08,-0.257,-0.209,2.238,0.242,3.72E-05,3.511,0.011
NaCl,11,17,5.465,6.031,-0.133,-0.17,-0.235,-0.17,1.469,0.172,5.68E-05,4.265,0.007
NaBr,11,35,5.786,6.378,-0.127,-0.188,-0.219,-0.149,1.318,0.15,8.61E-05,4.51,0.005
NaI,11,53,6.26,6.892,-0.115,-0.208,-0.186,-0.108,1.146,0.116,9.69E-05,4.873,0.004
MgO,12,8,4.163,4.519,-0.178,0.094,-0.083,-0.048,3.719,0.238,0.0007955,3.196,0.03
MgS,12,16,5.132,5.598,-0.087,-0.051,-0.052,-0.002,2.479,0.127,0.002204,3.958,0.009
MgSe,12,34,5.395,5.876,-0.055,-0.076,-0.035,0.015,2.27,0.101,0.002831,4.155,0.006
MgTe,12,52,5.843,6.372,-0.005,-0.108,0.011,0.069,1.995,0.05,0.003282,4.505,0.002
AlN,13,7,4.009,4.345,0.072,0.369,0.248,0.265,6.065,0.195,0.002512,3.069,0.025
AlP,13,15,4.998,5.436,0.219,0.133,0.259,0.259,4.053,0.04,0.008773,3.844,-0.002
AlAs,13,33,5.212,5.632,0.212,0.108,0.272,0.251,3.842,0.017,0.01167,3.982,-0.003
AlSb,13,51,5.648,6.112,0.15,0.06,0.178,0.149,3.427,0.047,0.01216,4.322,-0.005
SiC,14,6,4.005,4.331,0.668,0.574,0.56,0.598,7.815,0.121,0.0007966,3.063,0.003
SiSi,14,14,4.995,5.403,0.275,0.279,0.348,0.313,5.298,0.074,0.01121,3.821,-0.009
KF,19,9,5.163,5.697,-0.146,-0.044,-0.172,-0.158,2.541,0.209,0.004432,4.029,0.01
KCl,19,17,6.078,6.773,-0.165,-0.147,-0.199,-0.194,1.668,0.163,0.006767,4.79,0.007
KBr,19,35,6.372,7.141,-0.166,-0.167,-0.196,-0.219,1.497,0.149,0.01025,5.05,0.007
KI,19,53,6.816,7.646,-0.168,-0.19,-0.184,-0.212,1.301,0.126,0.01154,5.406,0.006
CaO,20,8,4.71,5.121,-0.266,-0.05,-0.207,-0.244,2.495,0.229,0.009595,3.621,0.04
CaS,20,16,5.565,6.156,-0.369,-0.147,-0.19,-0.362,1.663,0.157,0.02659,4.353,0.024
CaSe,20,34,5.793,6.418,-0.361,-0.164,-0.179,-0.416,1.523,0.139,0.03415,4.538,0.02
CaTe,20,52,6.209,6.913,-0.35,-0.185,-0.15,-0.428,1.338,0.107,0.03958,4.888,0.014
CuF,29,9,4.397,4.663,-0.019,0.286,0.084,0.098,5.361,0.25,0.002011,3.275,-0.007
CuCl,29,17,4.929,5.21,0.156,0.07,0.057,0.093,3.519,0.133,0.003071,3.684,0
CuBr,29,35,5.186,5.498,0.152,0.028,0.072,0.102,3.157,0.096,0.004653,3.89,-0.001
CuI,29,53,5.521,5.864,0.203,-0.02,0.113,0.151,2.744,0.039,0.005237,4.147,-0.002
