Compound,R_metal,T_metal,Tc,Z_R,r_R,cov_r_R,Boiling_point_R,Elect_neg_R,Ion_poten_R,S_4f,L_4f,J_4f,gj_4f,J_4f_x_gj_4f,J_4f_x(gj_4f-1),Z_T,r_T,Cov_r_T,Boiling_point_T,Elec_neg_T,Ion_poten_T,S_3d,L_3d,J_3d,RR_distance,RT_distance,TT_distance,mean_nTR,mean_nRR,mean_nRT,C_T,C_R
Co17Ce2-1090,Ce,Co,1090,58,181,204,3716,1.12,534.4,0.5,3,2.5,0.8571,2.14275,-0.35725,27,125,150,3200,1.88,760.4,1.5,3,4.5,4.07441,2.79635,2.37126,5.76471,38,49,0.06846,0.00805
Co5Ce-662,Ce,Co,662,58,181,204,3716,1.12,534.4,0.5,3,2.5,0.8571,2.14275,-0.35725,27,125,150,3200,1.88,760.4,1.5,3,4.5,4.018,2.84518,2.46168,8.4,58,42,0.05917,0.01183
Co7Ce2-50,Ce,Co,50,58,181,204,3716,1.12,534.4,0.5,3,2.5,0.8571,2.14275,-0.35725,27,125,150,3200,1.88,760.4,1.5,3,4.5,3.1291,2.83193,2.45226,10,68.5,35,0.05449,0.01557
Fe17Ce2-233,Ce,Fe,233,58,181,204,3716,1.12,534.4,0.5,3,2.5,0.8571,2.14275,-0.35725,26,126,152,3134,1.83,762.5,2,2,4,4.13808,2.83201,2.40832,3.64706,38,31,0.06572,0.00773
Fe2Ce-235,Ce,Fe,235,58,181,204,3716,1.12,534.4,0.5,3,2.5,0.8571,2.14275,-0.35725,26,126,152,3134,1.83,762.5,2,2,4,3.16186,3.02725,2.58165,14,86,28,0.0411,0.02055
Co2Dy-141,Dy,Co,141,66,178,192,2840,1.22,573,2.5,5,7.5,1.3333,9.99975,2.49975,27,125,150,3200,1.88,760.4,1.5,3,4.5,3.11596,2.9833,2.54417,14,86,28,0.04294,0.02147
Co3Dy-450,Dy,Co,450,66,178,192,2840,1.22,573,2.5,5,7.5,1.3333,9.99975,2.49975,27,125,150,3200,1.88,760.4,1.5,3,4.5,3.13757,2.87697,2.47726,10.88889,78,32.66667,0.05123,0.01708
Co5Dy-977,Dy,Co,977,66,178,192,2840,1.22,573,2.5,5,7.5,1.3333,9.99975,2.49975,27,125,150,3200,1.88,760.4,1.5,3,4.5,3.9872,1.22008,1.54703,6.57143,58,46,0.08345,0.01192
Mn23Dy6-443,Dy,Mn,443,66,178,192,2840,1.22,573,2.5,5,7.5,1.3333,9.99975,2.49975,25,127,161,2334,1.55,717.3,2.5,0,2.5,3.57105,3.05688,2.53316,5.47826,50,21,0.0478,0.01247
Mn2Dy-37,Dy,Mn,37,66,178,192,2840,1.22,573,2.5,5,7.5,1.3333,9.99975,2.49975,25,127,161,2334,1.55,717.3,2.5,0,2.5,3.28657,3.14665,2.68347,14,86,28,0.03659,0.0183
Ni17Dy2-170,Dy,Ni,170,66,178,192,2840,1.22,573,2.5,5,7.5,1.3333,9.99975,2.49975,28,124,124,3003,1.91,737.1,1,3,4,4.33,2.60907,2.25952,4.35294,36,37,0.07398,0.0087
Ni2Dy-28,Dy,Ni,28,66,178,192,2840,1.22,573,2.5,5,7.5,1.3333,9.99975,2.49975,28,124,124,3003,1.91,737.1,1,3,4,3.09864,2.96672,2.53003,14,86,28,0.04366,0.02183
Ni5Dy-13,Dy,Ni,13,66,178,192,2840,1.22,573,2.5,5,7.5,1.3333,9.99975,2.49975,28,124,124,3003,1.91,737.1,1,3,4,3.969,2.81112,2.43184,8.4,58,42,0.06136,0.01227
