#compound,volumne,Formation_energy,Band_gap,A_Z,A_e_negativity,A_valence_e,A_first_ionization,A_boiling_point,A_melting_point,A_atomic_radius,A_average_ionic_radius,B_Z,B_e_negativity,B_valence_e,B_first_ionization,B_boiling_point,B_melting_point,B_atomic_radius,B_average_ionic_radius,A_type,B_type,A_element,B_element,A_row,A_group,A_block,B_row,B_group,B_block
CsF,57.249,-2.877,5.26,55,0.79,1,3.894,944,301.59,2.6,1.81,9,3.98,7,17.422,85.03,53.53,0.5,0.705,Alkali,Halogen,Cs,F,6,1,s,2,17,p
CsCl,88.049,-2.265,4.849,55,0.79,1,3.894,944,301.59,2.6,1.81,17,3.16,7,12.967,239.11,171.6,1,0.78,Alkali,Halogen,Cs,Cl,6,1,s,3,17,p
CsBr,101.392,-1.811,4.258,55,0.79,1,3.894,944,301.59,2.6,1.81,35,2.96,7,11.814,332,265.8,1.15,0.8825,Alkali,Halogen,Cs,Br,6,1,s,4,17,p
CsI,121.359,-1.568,3.857,55,0.79,1,3.894,944,301.59,2.6,1.81,53,2.66,7,10.451,457.4,386.85,1.4,1.273333333,Alkali,Halogen,Cs,I,6,1,s,5,17,p
KF,39.893,-2.956,5.996,19,0.82,1,4.341,1032,336.53,2.2,1.52,9,3.98,7,17.422,85.03,53.53,0.5,0.705,Alkali,Halogen,K,F,4,1,s,2,17,p
KCl,65.391,-2.254,5.027,19,0.82,1,4.341,1032,336.53,2.2,1.52,17,3.16,7,12.967,239.11,171.6,1,0.78,Alkali,Halogen,K,Cl,4,1,s,3,17,p
KBr,75.735,-1.772,4.31,19,0.82,1,4.341,1032,336.53,2.2,1.52,35,2.96,7,11.814,332,265.8,1.15,0.8825,Alkali,Halogen,K,Br,4,1,s,4,17,p
KI,92.743,-1.499,3.851,19,0.82,1,4.341,1032,336.53,2.2,1.52,53,2.66,7,10.451,457.4,386.85,1.4,1.273333333,Alkali,Halogen,K,I,4,1,s,5,17,p
RbF,47.253,-2.896,5.524,37,0.82,1,4.177,961,312.46,2.35,1.66,9,3.98,7,17.422,85.03,53.53,0.5,0.705,Alkali,Halogen,Rb,F,5,1,s,2,17,p
RbCl,75.148,-2.243,4.839,37,0.82,1,4.177,961,312.46,2.35,1.66,17,3.16,7,12.967,239.11,171.6,1,0.78,Alkali,Halogen,Rb,Cl,5,1,s,3,17,p
RbBr,86.781,-1.774,4.193,37,0.82,1,4.177,961,312.46,2.35,1.66,35,2.96,7,11.814,332,265.8,1.15,0.8825,Alkali,Halogen,Rb,Br,5,1,s,4,17,p
RbTe,105.216,-0.4,0.001,37,0.82,1,4.177,961,312.46,2.35,1.66,52,2.1,6,9.009,1261,722.66,1.4,1.293333333,Alkali,Nonmetal_S_Se_Te,Rb,Te,5,1,s,5,16,p
RbI,104.957,-1.517,3.777,37,0.82,1,4.177,961,312.46,2.35,1.66,53,2.66,7,10.451,457.4,386.85,1.4,1.273333333,Alkali,Halogen,Rb,I,5,1,s,5,17,p
BaC,54.467,1.396,0.001,56,0.89,2,5.212,2143,1000,2.15,1.49,6,2.55,4,11.26,4300,3800,0.7,0.3,Alkaline,Nonmetal_N_P_C,Ba,C,6,2,s,2,14,p
BaO,44.255,-2.834,2.091,56,0.89,2,5.212,2143,1000,2.15,1.49,8,3.44,6,13.618,90.2,54.8,0.6,1.26,Alkaline,Nonmetal_O,Ba,O,6,2,s,2,16,p
BaS,67.31,-2.411,2.151,56,0.89,2,5.212,2143,1000,2.15,1.49,16,2.58,6,10.36,717.87,388.36,1,0.88,Alkaline,Nonmetal_S_Se_Te,Ba,S,6,2,s,3,16,p
BaSe,74.741,-2.047,1.949,56,0.89,2,5.212,2143,1000,2.15,1.49,34,2.55,6,9.752,958,494,1.15,1.013333333,Alkaline,Nonmetal_S_Se_Te,Ba,Se,6,2,s,4,16,p
BaTe,89.091,-1.789,1.593,56,0.89,2,5.212,2143,1000,2.15,1.49,52,2.1,6,9.009,1261,722.66,1.4,1.293333333,Alkaline,Nonmetal_S_Se_Te,Ba,Te,6,2,s,5,16,p
Na-N,32.022,1.082,0.001,11,0.93,1,5.139,1156,370.87,1.8,1.16,7,3.04,5,14.534,77.36,63.05,0.65,0.63,Alkali,Nonmetal_N_P_C,Na,N,3,1,s,2,15,p
