compound,result0
LiF,0
LiCl,0
LiBr,0
LiI,0
BeO,1
BeS,0
BeSe,0
BeTe,0
BN,1
BP,1
BAs,1
CC,1
NaF,0
NaCl,0
NaBr,0
NaI,0
MgO,0
MgS,0
MgSe,0
MgTe,0
AlN,0
AlP,0
AlAs,0
AlSb,0
SiC,0
SiSi,0
KF,0
KCl,0
KBr,0
KI,0
CaO,0
CaS,0
CaSe,0
CaTe,0
CuF,0
CuCl,0
CuBr,0
CuI,0
ZnO,0
ZnS,0
ZnSe,0
ZnTe,0
GaN,0
GaP,0
GaAs,0
GaSb,0
GeGe,0
RbF,0
RbCl,0
RbBr,0
RbI,0
SrO,0
SrS,0
SrSe,0
SrTe,0
AgF,0
AgCl,0
AgBr,0
AgI,0
CdO,0
CdS,0
CdSe,0
CdTe,0
InN,0
InP,0
InAs,0
InSb,0
SnSn,0
BSb,1
CsF,0
CsCl,0
CsBr,0
CsI,0
BaO,0
BaS,0
BaSe,0
BaTe,0
GeC,0
SnC,0
GeSi,0
SnSi,0
SnGe,0
