compound,result0
CsF,1
CsCl,1
CsBr,1
CsI,1
KF,1
KCl,1
KBr,1
KI,1
RbF,1
RbCl,1
RbBr,1
RbTe,1
RbI,1
BaC,0
BaO,1
BaS,1
BaSe,1
BaTe,1
Na-N,1
NaF,1
NaCl,1
NaBr,1
NaI,1
SrO,1
SrS,1
SrSe,1
SrTe,1
LiF,1
LiS,1
LiCl,1
LiBr,1
LiI,1
CaO,1
CaS,1
CaSe,1
CaTe,1
TbN,2
TbP,2
TbS,2
TbAs,2
TbSe,2
TbTe,2
YbN,1
YbO,1
YbP,1
YbS,1
YbAs,1
YbSe,1
YbTe,1
LaN,2
LaP,2
LaS,2
LaAs,2
LaSe,2
LaTe,2
CeC,0
CeN,2
CeO,2
CeP,2
CeS,2
CeAs,2
CeSe,2
CeTe,2
PrN,2
PrO,2
PrP,2
PrS,2
PrAs,2
PrSe,2
PrTe,2
NdN,2
NdO,2
NdP,2
NdS,2
NdAs,2
NdSe,2
NdTe,2
SmN,1
SmO,1
SmP,1
SmS,1
SmAs,1
SmSe,1
SmTe,1
EuN,1
EuO,1
EuP,1
EuS,1
EuSe,1
EuTe,1
GdN,2
GdP,2
GdS,2
GdAs,2
GdSe,2
GdTe,2
DyN,2
DyP,2
DyS,2
DyAs,2
DySe,2
DyTe,2
YC,0
YN,2
YP,2
YS,2
YAs,2
YSe,2
YTe,2
HoN,2
HoP,2
HoS,2
HoAs,2
HoSe,2
HoTe,2
ErN,2
ErP,2
ErS,2
ErAs,2
ErSe,2
ErTe,2
TmN,1
TmP,1
TmS,1
TmAs,1
TmSe,1
TmTe,1
LuN,2
LuP,2
LuS,2
LuAs,2
LuSe,2
LuTe,2
HfB,0
HfC,0
HfN,2
MgO,1
MgS,1
MgSe,1
MgTe,1
ZrB,0
ZrC,0
ZrN,2
ZrO,2
ZrP,2
ZrS,2
ZrAs,2
ScC,0
ScN,2
ScO,2
ScP,2
ScS,2
ScAs,2
ScSe,2
TaC,0
TaN,2
TaO,2
TiC,0
MnN,1
MnO,1
MnSe,1
MnTe,1
BeO,2
BeSe,2
NbC,0
AlN,1
AlO,1
TlC,0
TlN,1
TlF,1
TlCl,1
TlBr,1
TlI,1
VC,0
VN,2
VO,2
ZnN,1
ZnO,1
ZnTe,1
CrC,0
CrN,2
CrO,2
CrTe,2
InN,1
InP,1
InAs,1
InTe,1
GaN,1
FeN,2
FeO,2
CoN,2
CuN,2
CuO,2
TcB,0
TcC,0
TcN,2
ReC,0
ReN,2
NiC,0
NiN,2
NiO,2
AgC,0
AgF,1
AgCl,1
AgBr,1
AgI,1
SnC,0
SnP,1
SnS,1
SnAs,1
SnSe,1
SnTe,1
HgS,1
HgSe,1
HgTe,1
GeC,0
GeSe,2
BiSe,1
BiTe,1
MoC,0
MoN,2
MoP,2
RuC,0
RuN,2
OsC,0
OsN,2
IrC,0
IrN,2
PdC,0
PdN,2
RhC,0
RhN,2
PtN,2
PtO,2
PbS,1
PbSe,1
WC,0
WN,2
AuN,2
