compound,result0
1_Ag-H,0
2_Ag-He,0
3_Ag-Li,0
4_Ag-Be,0
5_Ag-B,0
6_Ag-C,0
7_Ag-N,0
8_Ag-O,0
9_Ag-F,0
10_Ag-Ne,0
12_Ag-Mg,0
13_Ag-Al,0
14_Ag-Si,0
15_Ag-P,0
16_Ag-S,0
17_Ag-Cl,0
18_Ag-Ar,0
19_Ag-K,0
20_Ag-Ca,0
21_Ag-Sc,0
22_Ag-Ti,0
23_Ag-V,0
24_Ag-Cr,0
25_Ag-Mn,0
26_Ag-Fe,0
27_Ag-Co,0
28_Ag-Ni,0
29_Ag-Cu,0
30_Ag-Zn,0
31_Ag-Ga,0
32_Ag-Ge,0
33_Ag-As,0
34_Ag-Se,0
35_Ag-Br,0
36_Ag-Kr,0
37_Ag-Rb,0
38_Ag-Sr,0
39_Ag-Y,0
40_Ag-Zr,0
41_Ag-Nb,0
42_Ag-Mo,0
43_Ag-Ru,1
44_Ag-Rh,1
45_Ag-Pd,1
46_Ag-Ag,1
47_Ag-Cd,1
48_Ag-In,1
49_Ag-Sn,1
50_Ag-Sb,1
51_Ag-Te,1
52_Ag-I,1
53_Ag-Xe,1
54_Ag-Cs,1
55_Ag-Ba,1
56_Ag-La,1
57_Ag-Hf,1
58_Ag-Ta,1
59_Ag-W,1
60_Ag-Re,1
61_Ag-Os,1
62_Ag-Ir,1
63_Ag-Pt,1
64_Ag-Au,1
65_Ag-Tl,1
66_Ag-Pb,1
67_Ag-Bi,1
68_Al-H,0
69_Al-He,0
70_Al-Li,0
71_Al-Be,0
72_Al-B,0
73_Al-C,0
74_Al-N,0
75_Al-O,0
76_Al-F,0
77_Al-Ne,0
78_Al-Na,0
79_Al-Mg,0
80_Al-Al,0
81_Al-Si,0
82_Al-P,0
83_Al-S,0
84_Al-Cl,0
85_Al-Ar,0
86_Al-K,0
87_Al-Ca,0
88_Al-Sc,0
89_Al-Ti,0
90_Al-V,0
91_Al-Cr,0
92_Al-Mn,0
93_Al-Fe,0
94_Al-Co,0
95_Al-Mn,0
96_Al-Cu,0
97_Al-Zn,0
98_Al-Ga,0
99_Al-Ge,0
100_Al-As,0
101_Al-Se,0
102_Al-Br,0
103_Al-Kr,0
104_Al-Rb,0
105_Al-Sr,0
106_Al-Y,0
107_Al-Zr,0
108_Al-Nb,0
109_Al-Mo,0
110_Al-Ru,1
111_Al-Rh,1
112_Al-Pd,1
113_Al-Ag,1
114_Al-Cd,1
115_Al-In,1
116_Al-Sn,1
117_Al-Sb,1
118_Al-Te,1
119_Al-I,1
120_Al-Xe,1
121_Al-Cs,1
122_Al-Ba,1
123_Al-La,1
124_Al-Hf,1
125_Al-Ta,1
126_Al-W,1
127_Al-Re,1
128_Al-Os,1
129_Al-Ir,1
130_Al-Pt,1
131_Al-Au,1
132_Al-Tl,1
133_Al-Pb,1
134_Al-Bi,1
135_As-H,0
136_As-He,0
137_As-Li,0
138_As-Be,0
139_As-B,0
140_As-C,0
141_As-N,0
142_As-O,0
143_As-F,0
144_As-Ne,0
145_As-Na,0
146_As-Mg,0
147_As-Al,0
148_As-Si,0
149_As-P,0
150_As-S,0
151_As-Cl,0
152_As-Ar,0
153_As-K,0
154_As-Ca,0
155_As-Sc,0
156_As-Ti,0
157_As-V,0
158_As-Cr,0
159_As-Mn,0
160_As-Fe,0
161_As-Co,0
162_As-Ni,0
163_As-Cu,0
164_As-Zn,0
165_As-Ga,0
166_As-Ge,0
167_As-As,0
168_As-Se,0
169_As-Br,0
170_As-Kr,0
171_As-Rb,0
172_As-Sr,0
173_As-Y,0
174_As-Zr,0
175_As-Nb,0
176_As-Mo,0
177_As-Ru,1
178_As-Rh,1
179_As-Pd,1
180_As-Ag,1
181_As-Cd,1
182_As-In,1
183_As-Sn,1
184_As-Sb,1
185_As-Te,1
186_As-I,1
187_As-Xe,1
188_As-Cs,1
189_As-Ba,1
190_As-La,1
191_As-Hf,1
192_As-Ta,1
193_As-W,1
194_As-Re,1
195_As-Os,1
196_As-Ir,1
197_As-Pt,1
198_As-Au,1
199_As-Tl,1
200_As-Pb,1
201_As-Bi,1
202_Au-H,2
203_Au-He,2
204_Au-Li,2
205_Au-Be,2
206_Au-B,2
207_Au-C,2
208_Au-N,2
209_Au-O,2
210_Au-F,2
211_Au-Ne,2
212_Au-Na,2
213_Au-Mg,2
214_Au-Al,2
215_Au-Si,2
216_Au-P,2
217_Au-S,2
218_Au-Cl,2
219_Au-Ar,2
220_Au-K,2
221_Au-Ca,2
222_Au-Sc,2
223_Au-Ti,2
224_Au-V,2
225_Au-Cr,2
226_Au-Mn,2
227_Au-Fe,2
228_Au-Co,2
229_Au-Ni,2
230_Au-Cu,2
231_Au-Zn,2
232_Au-Ga,2
233_Au-Ge,2
234_Au-As,2
235_Au-Se,2
236_Au-Br,2
237_Au-Kr,2
238_Au-Rb,2
239_Au-Sr,2
240_Au-Y,2
241_Au-Zr,2
242_Au-Nb,2
243_Au-Mo,2
244_Au-Ru,2
245_Au-Rh,2
246_Au-Pd,2
247_Au-Ag,2
248_Au-Cd,2
249_Au-In,2
250_Au-Sn,2
251_Au-Sb,2
252_Au-Te,2
253_Au-I,2
254_Au-Xe,2
255_Au-Cs,2
256_Au-Ba,2
257_Au-La,2
258_Au-Hf,2
259_Au-Ta,2
260_Au-W,2
261_Au-Re,2
262_Au-Os,2
263_Au-Ir,2
264_Au-Pt,2
265_Au-Au,2
266_Au-Tl,2
267_Au-Pb,2
268_Au-Bi,2
269_Co-H,0
270_Co-He,0
271_Co-Li,0
272_Co-Be,0
273_Co-B,0
274_Co-C,0
275_Co-N,0
276_Co-O,0
277_Co-F,0
278_Co-Ne,0
279_Co-Na,0
280_Co-Mg,0
281_Co-Al,0
282_Co-Si,0
283_Co-P,0
284_Co-S,0
285_Co-Cl,0
286_Co-Ar,0
287_Co-K,0
288_Co-Ca,0
289_Co-Sc,0
290_Co-Ti,0
291_Co-V,0
292_Co-Cr,0
293_Co-Mn,0
294_Co-Fe,0
295_Co-Co,0
296_Co-Ni,0
297_Co-Cu,0
298_Co-Zn,0
299_Co-Ga,0
300_Co-Ge,0
301_Co-As,0
302_Co-Se,0
303_Co-Br,0
304_Co-Kr,0
305_Co-Rb,0
306_Co-Sr,0
307_Co-Y,0
308_Co-Zr,0
309_Co-Nb,0
310_Co-Mo,0
311_Co-Ru,1
312_Co-Rh,1
313_Co-Pd,1
314_Co-Ag,1
315_Co-Cd,1
316_Co-In,1
317_Co-Sn,1
318_Co-Sb,1
319_Co-Te,1
320_Co-I,1
321_Co-Xe,1
322_Co-Cs,1
323_Co-Ba,1
324_Co-La,1
325_Co-Hf,1
326_Co-Ta,1
327_Co-W,1
328_Co-Re,1
329_Co-Os,1
330_Co-Ir,1
331_Co-Pt,1
332_Co-Au,1
333_Co-Tl,1
334_Co-Pb,1
335_Co-Bi,1
336_Cr-H,0
337_Cr-He,0
338_Cr-Li,0
339_Cr-Be,0
340_Cr-B,0
341_Cr-C,0
342_Cr-N,0
343_Cr-O,0
344_Cr-F,0
345_Cr-Ne,0
346_Cr-Na,0
347_Cr-Mg,0
348_Cr-Al,0
349_Cr-Si,0
350_Cr-P,0
351_Cr-S,0
352_Cr-Cl,0
353_Cr-Ar,0
354_Cr-K,0
355_Cr-Ca,0
356_Cr-Sc,0
357_Cr-Ti,0
358_Cr-V,0
359_Cr-Cr,0
360_Cr-Mn,0
361_Cr-Fe,0
362_Cr-Co,0
363_Cr-Ni,0
364_Cr-Cu,0
365_Cr-Zn,0
366_Cr-Ga,0
367_Cr-Ge,0
368_Cr-As,0
369_Cr-Se,0
370_Cr-Br,0
371_Cr-Kr,0
372_Cr-Rb,0
373_Cr-Sr,0
374_Cr-Y,0
375_Cr-Zr,0
376_Cr-Nb,0
377_Cr-Mo,0
378_Cr-Ru,1
379_Cr-Rh,1
380_Cr-Pd,1
381_Cr-Ag,1
382_Cr-Cd,1
383_Cr-In,1
384_Cr-Sn,1
385_Cr-Sb,1
386_Cr-Te,1
387_Cr-I,1
388_Cr-Xe,1
389_Cr-Cs,1
390_Cr-Ba,1
391_Cr-La,1
392_Cr-Hf,1
393_Cr-Ta,1
394_Cr-W,1
395_Cr-Re,1
396_Cr-Os,1
397_Cr-Ir,1
398_Cr-Pt,1
399_Cr-Au,1
400_Cr-Tl,1
401_Cr-Pb,1
402_Cr-Bi,1
403_Cu-H,0
404_Cu-He,0
405_Cu-Li,0
406_Cu-Be,0
407_Cu-B,0
408_Cu-C,0
409_Cu-N,0
410_Cu-O,0
411_Cu-F,0
412_Cu-Ne,0
413_Cu-Na,0
414_Cu-Mg,0
415_Cu-Al,0
416_Cu-Si,0
417_Cu-P,0
418_Cu-S,0
419_Cu-Cl,0
420_Cu-Ar,0
421_Cu-K,0
422_Cu-Ca,0
423_Cu-Sc,0
424_Cu-Ti,0
425_Cu-V,0
426_Cu-Cr,0
427_Cu-Mn,0
428_Cu-Fe,0
429_Cu-Co,0
430_Cu-Ni,0
431_Cu-Cu,0
432_Cu-Zn,0
433_Cu-Ga,0
434_Cu-Ge,0
435_Cu-As,0
436_Cu-Se,0
437_Cu-Br,0
438_Cu-Kr,0
