compound,result0
LiF,0
LiCl,0
LiBr,1
LiI,1
BeO,0
BeS,0
BeSe,1
BeTe,1
BN,0
BP,0
BAs,1
CC,0
NaF,0
NaCl,0
NaBr,1
NaI,1
MgO,0
MgS,0
MgSe,1
MgTe,1
AlN,0
AlP,0
AlAs,1
AlSb,1
SiC,0
SiSi,0
KF,0
KCl,0
KBr,1
KI,1
CaO,0
CaS,0
CaSe,1
CaTe,1
CuF,0
CuCl,0
CuBr,1
CuI,1
ZnO,0
ZnS,0
ZnSe,1
ZnTe,1
GaN,0
GaP,0
GaAs,1
GaSb,1
GeGe,1
RbF,0
RbCl,0
RbBr,1
RbI,1
SrO,0
SrS,0
SrSe,1
SrTe,1
AgF,0
AgCl,0
AgBr,1
AgI,1
CdO,0
CdS,0
CdSe,1
CdTe,1
InN,0
InP,0
InAs,1
InSb,1
SnSn,1
BSb,1
CsF,0
CsCl,0
CsBr,1
CsI,1
BaO,0
BaS,0
BaSe,1
BaTe,1
GeC,0
SnC,0
GeSi,0
SnSi,0
SnGe,1
