compound,result0
CsF,1
CsCl,1
CsBr,1
CsI,1
KF,1
KCl,1
KBr,1
KI,1
RbF,1
RbCl,1
RbBr,1
RbTe,1
RbI,1
BaC,1
BaO,1
BaS,1
BaSe,1
BaTe,2
Na-N,0
NaF,1
NaCl,1
NaBr,1
NaI,1
SrO,1
SrS,1
SrSe,1
SrTe,2
LiF,1
LiS,1
LiCl,1
LiBr,1
LiI,1
CaO,1
CaS,1
CaSe,2
CaTe,2
TbN,0
TbP,1
TbS,1
TbAs,2
TbSe,2
TbTe,2
YbN,0
YbO,2
YbP,1
YbS,1
YbAs,2
YbSe,2
YbTe,2
LaN,0
LaP,2
LaS,1
LaAs,2
LaSe,2
LaTe,2
CeC,2
CeN,0
CeO,2
CeP,2
CeS,1
CeAs,2
CeSe,2
CeTe,2
PrN,0
PrO,2
PrP,2
PrS,1
PrAs,2
PrSe,2
PrTe,2
NdN,0
NdO,2
NdP,2
NdS,1
NdAs,2
NdSe,2
NdTe,2
SmN,0
SmO,2
SmP,2
SmS,1
SmAs,2
SmSe,2
SmTe,2
EuN,0
EuO,2
EuP,2
EuS,1
EuSe,2
EuTe,2
GdN,0
GdP,2
GdS,1
GdAs,2
GdSe,2
GdTe,2
DyN,0
DyP,2
DyS,1
DyAs,2
DySe,2
DyTe,2
YC,0
YN,0
YP,0
YS,1
YAs,0
YSe,2
YTe,2
HoN,0
HoP,0
HoS,1
HoAs,2
HoSe,2
HoTe,2
ErN,0
ErP,2
ErS,1
ErAs,2
ErSe,2
ErTe,2
TmN,0
TmP,2
TmS,1
TmAs,2
TmSe,2
TmTe,2
LuN,0
LuP,0
LuS,1
LuAs,2
LuSe,2
LuTe,2
HfB,0
HfC,0
HfN,0
MgO,0
MgS,1
MgSe,1
MgTe,2
ZrB,0
ZrC,0
ZrN,0
ZrO,0
ZrP,0
ZrS,0
ZrAs,0
ScC,0
ScN,0
ScO,0
ScP,0
ScS,1
ScAs,0
ScSe,2
TaC,0
TaN,0
TaO,0
TiC,0
MnN,0
MnO,0
MnSe,2
MnTe,2
BeO,0
BeSe,2
NbC,0
AlN,0
AlO,2
TlC,1
TlN,0
TlF,1
TlCl,1
TlBr,1
TlI,1
VC,0
VN,0
VO,0
ZnN,0
ZnO,0
ZnTe,2
CrC,0
CrN,0
CrO,0
CrTe,2
InN,0
InP,0
InAs,0
InTe,2
GaN,0
FeN,0
FeO,0
CoN,0
CuN,0
CuO,0
TcB,0
TcC,0
TcN,0
ReC,0
ReN,0
NiC,0
NiN,0
NiO,0
AgC,0
AgF,0
AgCl,0
AgBr,0
AgI,0
SnC,0
SnP,0
SnS,1
SnAs,0
SnSe,2
SnTe,2
HgS,1
HgSe,1
HgTe,2
GeC,0
GeSe,2
BiSe,2
BiTe,2
MoC,0
MoN,0
MoP,0
RuC,0
RuN,0
OsC,0
OsN,0
IrC,0
IrN,0
PdC,0
PdN,0
RhC,0
RhN,0
PtN,0
PtO,0
PbS,1
PbSe,2
WC,0
WN,0
AuN,0
