compound,result0
1_Ag-H,0
2_Ag-He,1
3_Ag-Li,0
4_Ag-Be,1
5_Ag-B,1
6_Ag-C,1
7_Ag-N,1
8_Ag-O,1
9_Ag-F,1
10_Ag-Ne,1
12_Ag-Mg,1
13_Ag-Al,1
14_Ag-Si,1
15_Ag-P,1
16_Ag-S,1
17_Ag-Cl,1
18_Ag-Ar,1
19_Ag-K,1
20_Ag-Ca,1
21_Ag-Sc,0
22_Ag-Ti,0
23_Ag-V,0
24_Ag-Cr,0
25_Ag-Mn,0
26_Ag-Fe,0
27_Ag-Co,0
28_Ag-Ni,0
29_Ag-Cu,0
30_Ag-Zn,0
31_Ag-Ga,1
32_Ag-Ge,0
33_Ag-As,0
34_Ag-Se,0
35_Ag-Br,0
36_Ag-Kr,0
37_Ag-Rb,1
38_Ag-Sr,1
39_Ag-Y,0
40_Ag-Zr,0
41_Ag-Nb,1
42_Ag-Mo,1
43_Ag-Ru,1
44_Ag-Rh,1
45_Ag-Pd,1
46_Ag-Ag,1
47_Ag-Cd,1
48_Ag-In,1
49_Ag-Sn,1
50_Ag-Sb,1
51_Ag-Te,1
52_Ag-I,1
53_Ag-Xe,1
54_Ag-Cs,0
55_Ag-Ba,1
56_Ag-La,0
57_Ag-Hf,1
58_Ag-Ta,1
59_Ag-W,1
60_Ag-Re,1
61_Ag-Os,1
62_Ag-Ir,1
63_Ag-Pt,1
64_Ag-Au,0
65_Ag-Tl,1
66_Ag-Pb,1
67_Ag-Bi,1
68_Al-H,2
69_Al-He,2
70_Al-Li,2
71_Al-Be,2
72_Al-B,2
73_Al-C,2
74_Al-N,2
75_Al-O,2
76_Al-F,2
77_Al-Ne,2
78_Al-Na,2
79_Al-Mg,2
80_Al-Al,2
81_Al-Si,2
82_Al-P,2
83_Al-S,2
84_Al-Cl,2
85_Al-Ar,2
86_Al-K,2
87_Al-Ca,2
88_Al-Sc,0
89_Al-Ti,2
90_Al-V,0
91_Al-Cr,0
92_Al-Mn,0
93_Al-Fe,0
94_Al-Co,0
95_Al-Mn,0
96_Al-Cu,0
97_Al-Zn,0
98_Al-Ga,2
99_Al-Ge,2
100_Al-As,2
101_Al-Se,2
102_Al-Br,2
103_Al-Kr,2
104_Al-Rb,2
105_Al-Sr,2
106_Al-Y,2
107_Al-Zr,2
108_Al-Nb,2
109_Al-Mo,2
110_Al-Ru,2
111_Al-Rh,2
112_Al-Pd,2
113_Al-Ag,2
114_Al-Cd,2
115_Al-In,2
116_Al-Sn,2
117_Al-Sb,2
118_Al-Te,2
119_Al-I,2
120_Al-Xe,2
121_Al-Cs,2
122_Al-Ba,2
123_Al-La,2
124_Al-Hf,2
125_Al-Ta,2
126_Al-W,2
127_Al-Re,2
128_Al-Os,2
129_Al-Ir,2
130_Al-Pt,2
131_Al-Au,2
132_Al-Tl,2
133_Al-Pb,2
134_Al-Bi,2
135_As-H,0
136_As-He,0
137_As-Li,0
138_As-Be,0
139_As-B,1
140_As-C,1
141_As-N,1
142_As-O,0
143_As-F,0
144_As-Ne,0
145_As-Na,0
146_As-Mg,0
147_As-Al,0
148_As-Si,0
149_As-P,0
150_As-S,0
151_As-Cl,0
152_As-Ar,0
153_As-K,0
154_As-Ca,0
155_As-Sc,0
156_As-Ti,0
157_As-V,0
158_As-Cr,0
159_As-Mn,0
160_As-Fe,0
161_As-Co,0
162_As-Ni,0
163_As-Cu,0
164_As-Zn,0
165_As-Ga,0
166_As-Ge,0
167_As-As,0
168_As-Se,0
169_As-Br,0
170_As-Kr,0
171_As-Rb,0
172_As-Sr,0
173_As-Y,0
174_As-Zr,0
175_As-Nb,0
176_As-Mo,0
177_As-Ru,0
178_As-Rh,0
179_As-Pd,0
180_As-Ag,0
181_As-Cd,0
182_As-In,1
183_As-Sn,0
184_As-Sb,0
185_As-Te,0
186_As-I,0
187_As-Xe,1
188_As-Cs,0
189_As-Ba,0
190_As-La,0
191_As-Hf,0
192_As-Ta,0
193_As-W,0
194_As-Re,0
195_As-Os,0
196_As-Ir,0
197_As-Pt,0
198_As-Au,0
199_As-Tl,1
200_As-Pb,1
201_As-Bi,1
202_Au-H,0
203_Au-He,1
204_Au-Li,1
205_Au-Be,1
206_Au-B,1
207_Au-C,1
208_Au-N,1
209_Au-O,1
210_Au-F,1
211_Au-Ne,1
212_Au-Na,0
213_Au-Mg,1
214_Au-Al,1
215_Au-Si,1
216_Au-P,1
217_Au-S,1
218_Au-Cl,1
219_Au-Ar,0
220_Au-K,0
221_Au-Ca,0
222_Au-Sc,0
223_Au-Ti,0
224_Au-V,0
225_Au-Cr,0
226_Au-Mn,0
227_Au-Fe,0
228_Au-Co,0
229_Au-Ni,0
230_Au-Cu,0
231_Au-Zn,0
232_Au-Ga,0
233_Au-Ge,1
234_Au-As,1
235_Au-Se,1
236_Au-Br,1
237_Au-Kr,0
238_Au-Rb,0
239_Au-Sr,0
240_Au-Y,1
241_Au-Zr,1
242_Au-Nb,0
243_Au-Mo,0
244_Au-Ru,0
245_Au-Rh,0
246_Au-Pd,0
247_Au-Ag,0
248_Au-Cd,0
249_Au-In,1
250_Au-Sn,1
251_Au-Sb,1
252_Au-Te,1
253_Au-I,1
254_Au-Xe,1
255_Au-Cs,0
256_Au-Ba,1
257_Au-La,1
258_Au-Hf,0
259_Au-Ta,0
260_Au-W,0
261_Au-Re,0
262_Au-Os,0
263_Au-Ir,0
264_Au-Pt,0
265_Au-Au,0
266_Au-Tl,1
267_Au-Pb,1
268_Au-Bi,1
269_Co-H,0
270_Co-He,0
271_Co-Li,0
272_Co-Be,0
273_Co-B,0
274_Co-C,0
275_Co-N,0
276_Co-O,0
277_Co-F,0
278_Co-Ne,0
279_Co-Na,0
280_Co-Mg,0
281_Co-Al,0
282_Co-Si,0
283_Co-P,0
284_Co-S,0
285_Co-Cl,0
286_Co-Ar,0
287_Co-K,0
288_Co-Ca,0
289_Co-Sc,0
290_Co-Ti,0
291_Co-V,0
292_Co-Cr,0
293_Co-Mn,0
294_Co-Fe,0
295_Co-Co,0
296_Co-Ni,0
297_Co-Cu,0
298_Co-Zn,0
299_Co-Ga,0
300_Co-Ge,0
301_Co-As,0
302_Co-Se,0
303_Co-Br,0
304_Co-Kr,0
305_Co-Rb,0
306_Co-Sr,0
307_Co-Y,0
308_Co-Zr,0
309_Co-Nb,0
310_Co-Mo,0
311_Co-Ru,0
312_Co-Rh,0
313_Co-Pd,0
314_Co-Ag,0
315_Co-Cd,0
316_Co-In,1
317_Co-Sn,0
318_Co-Sb,0
319_Co-Te,0
320_Co-I,0
321_Co-Xe,0
322_Co-Cs,0
323_Co-Ba,0
324_Co-La,0
325_Co-Hf,0
326_Co-Ta,0
327_Co-W,0
328_Co-Re,0
329_Co-Os,0
330_Co-Ir,0
331_Co-Pt,0
332_Co-Au,0
333_Co-Tl,0
334_Co-Pb,0
335_Co-Bi,0
336_Cr-H,0
337_Cr-He,0
338_Cr-Li,0
339_Cr-Be,0
340_Cr-B,0
341_Cr-C,0
342_Cr-N,0
343_Cr-O,0
344_Cr-F,0
345_Cr-Ne,0
346_Cr-Na,0
347_Cr-Mg,0
348_Cr-Al,0
349_Cr-Si,0
350_Cr-P,0
