compound,result0
LiF,0
LiCl,0
LiBr,0
LiI,0
BeO,0
BeS,1
BeSe,1
BeTe,0
BN,0
BP,1
BAs,1
CC,1
NaF,1
NaCl,0
NaBr,0
NaI,0
MgO,1
MgS,0
MgSe,0
MgTe,0
AlN,1
AlP,1
AlAs,0
AlSb,0
SiC,0
SiSi,1
KF,0
KCl,0
KBr,0
KI,0
CaO,1
CaS,0
CaSe,0
CaTe,0
CuF,1
CuCl,1
CuBr,0
CuI,0
ZnO,0
ZnS,1
ZnSe,0
ZnTe,0
GaN,0
GaP,1
GaAs,0
GaSb,0
GeGe,0
RbF,0
RbCl,0
RbBr,0
RbI,0
SrO,0
SrS,0
SrSe,0
SrTe,0
AgF,1
AgCl,0
AgBr,0
AgI,0
CdO,1
CdS,0
CdSe,0
CdTe,0
InN,1
InP,1
InAs,0
InSb,1
SnSn,0
BSb,1
CsF,0
CsCl,0
CsBr,0
CsI,0
BaO,0
BaS,0
BaSe,0
BaTe,0
GeC,1
SnC,1
GeSi,0
SnSi,0
SnGe,0
