compound,result0
CsF,1
CsCl,1
CsBr,1
CsI,1
KF,1
KCl,1
KBr,1
KI,1
RbF,1
RbCl,1
RbBr,1
RbTe,1
RbI,1
BaC,2
BaO,1
BaS,1
BaSe,1
BaTe,1
Na-N,2
NaF,1
NaCl,1
NaBr,1
NaI,1
SrO,1
SrS,1
SrSe,1
SrTe,1
LiF,1
LiS,1
LiCl,1
LiBr,1
LiI,1
CaO,1
CaS,1
CaSe,1
CaTe,1
TbN,0
TbP,0
TbS,0
TbAs,0
TbSe,0
TbTe,0
YbN,0
YbO,0
YbP,0
YbS,0
YbAs,0
YbSe,0
YbTe,0
LaN,0
LaP,0
LaS,0
LaAs,0
LaSe,0
LaTe,0
CeC,0
CeN,0
CeO,0
CeP,0
CeS,0
CeAs,0
CeSe,0
CeTe,0
PrN,0
PrO,0
PrP,0
PrS,0
PrAs,0
PrSe,0
PrTe,0
NdN,0
NdO,0
NdP,0
NdS,0
NdAs,0
NdSe,0
NdTe,0
SmN,0
SmO,0
SmP,0
SmS,0
SmAs,0
SmSe,0
SmTe,0
EuN,0
EuO,0
EuP,0
EuS,0
EuSe,0
EuTe,0
GdN,0
GdP,0
GdS,0
GdAs,0
GdSe,0
GdTe,0
DyN,0
DyP,0
DyS,0
DyAs,0
DySe,0
DyTe,0
YC,2
YN,2
YP,2
YS,1
YAs,2
YSe,1
YTe,1
HoN,0
HoP,0
HoS,0
HoAs,0
HoSe,0
HoTe,0
ErN,0
ErP,0
ErS,0
ErAs,0
ErSe,0
ErTe,0
TmN,0
TmP,0
TmS,0
TmAs,0
TmSe,0
TmTe,0
LuN,2
LuP,0
LuS,0
LuAs,0
LuSe,0
LuTe,0
HfB,2
HfC,2
HfN,2
MgO,1
MgS,1
MgSe,1
MgTe,1
ZrB,2
ZrC,2
ZrN,2
ZrO,2
ZrP,2
ZrS,1
ZrAs,2
ScC,2
ScN,2
ScO,2
ScP,2
ScS,1
ScAs,2
ScSe,1
TaC,2
TaN,2
TaO,2
TiC,2
MnN,2
MnO,2
MnSe,1
MnTe,1
BeO,1
BeSe,1
NbC,2
AlN,2
AlO,1
TlC,2
TlN,2
TlF,1
TlCl,1
TlBr,1
TlI,1
VC,2
VN,2
VO,2
ZnN,2
ZnO,2
ZnTe,1
CrC,2
CrN,2
CrO,2
CrTe,1
InN,2
InP,2
InAs,1
InTe,1
GaN,2
FeN,2
FeO,2
CoN,2
CuN,2
CuO,2
TcB,2
TcC,2
TcN,2
ReC,2
ReN,2
NiC,2
NiN,2
NiO,2
AgC,2
AgF,2
AgCl,2
AgBr,2
AgI,2
SnC,2
SnP,2
SnS,1
SnAs,1
SnSe,1
SnTe,1
HgS,1
HgSe,1
HgTe,1
GeC,2
GeSe,1
BiSe,1
BiTe,1
MoC,2
MoN,2
MoP,2
RuC,2
RuN,2
OsC,2
OsN,2
IrC,2
IrN,2
PdC,2
PdN,2
RhC,2
RhN,2
PtN,2
PtO,2
PbS,1
PbSe,1
WC,2
WN,2
AuN,2
