compound,result0
1_Ag-H,2
2_Ag-He,0
3_Ag-Li,2
4_Ag-Be,1
5_Ag-B,1
6_Ag-C,1
7_Ag-N,2
8_Ag-O,1
9_Ag-F,2
10_Ag-Ne,2
12_Ag-Mg,2
13_Ag-Al,2
14_Ag-Si,2
15_Ag-P,2
16_Ag-S,2
17_Ag-Cl,2
18_Ag-Ar,0
19_Ag-K,0
20_Ag-Ca,0
21_Ag-Sc,2
22_Ag-Ti,2
23_Ag-V,2
24_Ag-Cr,2
25_Ag-Mn,1
26_Ag-Fe,1
27_Ag-Co,1
28_Ag-Ni,1
29_Ag-Cu,2
30_Ag-Zn,2
31_Ag-Ga,2
32_Ag-Ge,2
33_Ag-As,2
34_Ag-Se,2
35_Ag-Br,2
36_Ag-Kr,2
37_Ag-Rb,0
38_Ag-Sr,0
39_Ag-Y,2
40_Ag-Zr,2
41_Ag-Nb,2
42_Ag-Mo,2
43_Ag-Ru,2
44_Ag-Rh,2
45_Ag-Pd,2
46_Ag-Ag,2
47_Ag-Cd,2
48_Ag-In,2
49_Ag-Sn,2
50_Ag-Sb,2
51_Ag-Te,2
52_Ag-I,2
53_Ag-Xe,0
54_Ag-Cs,2
55_Ag-Ba,0
56_Ag-La,2
57_Ag-Hf,1
58_Ag-Ta,1
59_Ag-W,1
60_Ag-Re,1
61_Ag-Os,1
62_Ag-Ir,1
63_Ag-Pt,1
64_Ag-Au,2
65_Ag-Tl,1
66_Ag-Pb,1
67_Ag-Bi,1
68_Al-H,1
69_Al-He,2
70_Al-Li,2
71_Al-Be,1
72_Al-B,1
73_Al-C,1
74_Al-N,1
75_Al-O,1
76_Al-F,2
77_Al-Ne,0
78_Al-Na,0
79_Al-Mg,2
80_Al-Al,2
81_Al-Si,2
82_Al-P,2
83_Al-S,2
84_Al-Cl,0
85_Al-Ar,0
86_Al-K,0
87_Al-Ca,0
88_Al-Sc,2
89_Al-Ti,2
90_Al-V,0
91_Al-Cr,0
92_Al-Mn,1
93_Al-Fe,1
94_Al-Co,1
95_Al-Mn,1
96_Al-Cu,2
97_Al-Zn,0
98_Al-Ga,2
99_Al-Ge,0
100_Al-As,2
101_Al-Se,2
102_Al-Br,0
103_Al-Kr,0
104_Al-Rb,0
105_Al-Sr,0
106_Al-Y,0
107_Al-Zr,2
108_Al-Nb,2
109_Al-Mo,2
110_Al-Ru,2
111_Al-Rh,2
112_Al-Pd,2
113_Al-Ag,2
114_Al-Cd,2
115_Al-In,2
116_Al-Sn,0
117_Al-Sb,2
118_Al-Te,0
119_Al-I,0
120_Al-Xe,0
121_Al-Cs,0
122_Al-Ba,0
123_Al-La,0
124_Al-Hf,2
125_Al-Ta,2
126_Al-W,1
127_Al-Re,1
128_Al-Os,1
129_Al-Ir,1
130_Al-Pt,1
131_Al-Au,2
132_Al-Tl,2
133_Al-Pb,2
134_Al-Bi,2
135_As-H,1
136_As-He,2
137_As-Li,2
138_As-Be,2
139_As-B,1
140_As-C,1
141_As-N,1
142_As-O,1
143_As-F,2
144_As-Ne,0
145_As-Na,0
146_As-Mg,0
147_As-Al,2
148_As-Si,2
149_As-P,2
150_As-S,2
151_As-Cl,0
152_As-Ar,0
153_As-K,0
154_As-Ca,0
155_As-Sc,2
156_As-Ti,2
157_As-V,2
158_As-Cr,2
159_As-Mn,2
160_As-Fe,2
161_As-Co,2
162_As-Ni,2
163_As-Cu,2
164_As-Zn,2
165_As-Ga,2
166_As-Ge,2
167_As-As,2
168_As-Se,2
169_As-Br,2
170_As-Kr,0
171_As-Rb,0
172_As-Sr,0
173_As-Y,2
174_As-Zr,2
175_As-Nb,2
176_As-Mo,2
177_As-Ru,2
178_As-Rh,2
179_As-Pd,2
180_As-Ag,2
181_As-Cd,2
182_As-In,2
183_As-Sn,2
184_As-Sb,2
185_As-Te,2
186_As-I,2
187_As-Xe,0
188_As-Cs,0
189_As-Ba,2
190_As-La,2
191_As-Hf,2
192_As-Ta,2
193_As-W,1
194_As-Re,1
195_As-Os,1
196_As-Ir,1
197_As-Pt,2
198_As-Au,2
199_As-Tl,1
200_As-Pb,1
201_As-Bi,1
202_Au-H,1
203_Au-He,2
204_Au-Li,1
205_Au-Be,1
206_Au-B,1
207_Au-C,1
208_Au-N,1
209_Au-O,1
210_Au-F,1
211_Au-Ne,2
212_Au-Na,2
213_Au-Mg,2
214_Au-Al,2
215_Au-Si,2
216_Au-P,2
217_Au-S,2
218_Au-Cl,2
219_Au-Ar,2
220_Au-K,2
221_Au-Ca,2
222_Au-Sc,2
223_Au-Ti,2
224_Au-V,1
225_Au-Cr,2
226_Au-Mn,1
227_Au-Fe,1
228_Au-Co,1
229_Au-Ni,1
230_Au-Cu,1
231_Au-Zn,1
232_Au-Ga,2
233_Au-Ge,1
234_Au-As,1
235_Au-Se,1
236_Au-Br,1
237_Au-Kr,2
238_Au-Rb,0
239_Au-Sr,0
240_Au-Y,1
241_Au-Zr,1
242_Au-Nb,1
243_Au-Mo,1
244_Au-Ru,1
245_Au-Rh,1
246_Au-Pd,1
247_Au-Ag,1
248_Au-Cd,1
249_Au-In,1
250_Au-Sn,1
251_Au-Sb,1
252_Au-Te,1
253_Au-I,1
254_Au-Xe,1
255_Au-Cs,2
256_Au-Ba,0
257_Au-La,1
258_Au-Hf,1
259_Au-Ta,2
260_Au-W,2
261_Au-Re,1
262_Au-Os,1
263_Au-Ir,1
264_Au-Pt,2
265_Au-Au,2
266_Au-Tl,1
267_Au-Pb,1
268_Au-Bi,1
269_Co-H,2
270_Co-He,0
271_Co-Li,1
272_Co-Be,2
273_Co-B,2
274_Co-C,2
275_Co-N,2
276_Co-O,2
277_Co-F,2
278_Co-Ne,0
279_Co-Na,0
280_Co-Mg,1
281_Co-Al,1
282_Co-Si,2
283_Co-P,2
284_Co-S,1
285_Co-Cl,2
286_Co-Ar,0
287_Co-K,0
288_Co-Ca,0
289_Co-Sc,2
290_Co-Ti,2
291_Co-V,2
292_Co-Cr,2
293_Co-Mn,2
294_Co-Fe,2
295_Co-Co,2
296_Co-Ni,2
297_Co-Cu,2
298_Co-Zn,2
299_Co-Ga,2
300_Co-Ge,1
301_Co-As,1
302_Co-Se,1
303_Co-Br,2
304_Co-Kr,2
305_Co-Rb,2
306_Co-Sr,0
307_Co-Y,2
308_Co-Zr,2
309_Co-Nb,2
