compound,result0
LiF,0
LiCl,0
LiBr,0
LiI,0
BeO,1
BeS,1
BeSe,1
BeTe,1
BN,0
BP,0
BAs,0
CC,0
NaF,0
NaCl,0
NaBr,0
NaI,0
MgO,1
MgS,1
MgSe,1
MgTe,1
AlN,0
AlP,0
AlAs,0
AlSb,0
SiC,0
SiSi,0
KF,0
KCl,0
KBr,0
KI,0
CaO,1
CaS,1
CaSe,1
CaTe,1
CuF,0
CuCl,0
CuBr,0
CuI,0
ZnO,1
ZnS,1
ZnSe,1
ZnTe,1
GaN,0
GaP,0
GaAs,0
GaSb,0
GeGe,0
RbF,0
RbCl,0
RbBr,0
RbI,0
SrO,1
SrS,1
SrSe,1
SrTe,1
AgF,0
AgCl,0
AgBr,0
AgI,0
CdO,1
CdS,1
CdSe,1
CdTe,1
InN,0
InP,0
InAs,0
InSb,0
SnSn,0
BSb,0
CsF,0
CsCl,0
CsBr,0
CsI,0
BaO,1
BaS,1
BaSe,1
BaTe,1
GeC,0
SnC,0
GeSi,0
SnSi,0
SnGe,0
