compound,result0
Co17Ce2-1090,0
Co5Ce-662,0
Co7Ce2-50,0
Fe17Ce2-233,1
Fe2Ce-235,1
Co2Dy-141,0
Co3Dy-450,0
Co5Dy-977,0
Mn23Dy6-443,2
Mn2Dy-37,2
Ni17Dy2-170,2
Ni2Dy-28,2
Ni5Dy-13,2
NiDy-64,2
Co2Er-39,0
Co3Er-401,0
Co5Er-1066,0
Co7Er-1123,0
CoEr3-7,0
Fe17Er2-299,1
Fe23Er6-498,1
Fe2Er-587,1
Ni3Er-66,2
Ni5Er-11,2
Ni7Er2-74,2
NiEr-12,2
Ni2Eu-139,2
Co17Gd2-1209,0
Co2Gd-405,0
Co3Gd-631,0
Co3Gd4-233,0
Co5Gd-1002,0
CoGd3-143,0
Fe17Gd2-479,1
Fe23Gd6-659,1
Fe2Gd-814,1
Fe3Gd-725,1
Fe5Gd-470,1
Mn23Gd6-465,2
Mn2Gd-135,2
Ni17Gd-189,2
Ni2Gd-77,2
Ni3Gd-113,2
Ni5Gd-32,2
NiGd-71,2
Co2Ho-83,0
Co5Ho-1026,0
CoHo3-10,0
Fe17Ho2-335,1
Fe23Ho6-507,1
Fe2Ho-560,1
Mn2Ho-25,2
Ni2Ho-16,2
Ni5Ho-14,2
NiHo-38,2
Co13La-1298,0
Co5La-838,0
Fe2Lu-580,1
Co2Nd-108,0
Co3Nd-381,0
Co5Nd-910,0
CoNd3-27,0
Fe17Nd2-327,1
Fe17Nd5-303,1
Fe2Nd-453,1
Mn23Nd6-438,2
Ni2Nd-9,2
Ni5Nd-7,2
Co2Pr-45,0
Co5Pr-931,0
CoPr3-14,0
Fe17Pr2-280,1
Mn23Pr6-448,2
Ni5Pr-0,2
Co17Sm2-1193,0
Co2Sm-230,0
Co5Sm-1273,0
CoSm3-78,0
Fe17Sm2-395,1
Fe2Sm-676,1
Fe3Sm-657,1
Mn23Sm6-450,2
Ni2Sm-22,2
Co2Tb-230,0
Co5Tb-979,0
CoTb3-77,0
Fe17Tb2-411,1
Fe2Tb-701,1
Fe3Tb-651,1
Mn23Tb6-454,2
Mn2Tb-48,2
Ni2Tb-40,2
Ni5Tb-23,2
Co2Tm-4,0
Co3Tm-370,0
Co7Tm2-640,0
Fe17Tm2-271,1
Fe2Tm-562,1
NiTm-7,2
Mn23Yb6-406,2
NiYb-9,2
