compound,result0
CsF,2
CsCl,2
CsBr,2
CsI,2
KF,2
KCl,2
KBr,2
KI,2
RbF,2
RbCl,2
RbBr,2
RbTe,2
RbI,2
BaC,1
BaO,2
BaS,2
BaSe,2
BaTe,2
Na-N,2
NaF,2
NaCl,2
NaBr,2
NaI,2
SrO,2
SrS,2
SrSe,2
SrTe,2
LiF,2
LiS,2
LiCl,2
LiBr,2
LiI,2
CaO,2
CaS,2
CaSe,2
CaTe,2
TbN,0
TbP,0
TbS,0
TbAs,0
TbSe,0
TbTe,0
YbN,2
YbO,2
YbP,2
YbS,2
YbAs,2
YbSe,2
YbTe,2
LaN,0
LaP,0
LaS,0
LaAs,0
LaSe,0
LaTe,0
CeC,1
CeN,0
CeO,0
CeP,0
CeS,0
CeAs,0
CeSe,0
CeTe,0
PrN,0
PrO,0
PrP,0
PrS,0
PrAs,0
PrSe,0
PrTe,0
NdN,0
NdO,0
NdP,0
NdS,0
NdAs,0
NdSe,0
NdTe,0
SmN,2
SmO,2
SmP,2
SmS,2
SmAs,2
SmSe,2
SmTe,2
EuN,2
EuO,2
EuP,2
EuS,2
EuSe,2
EuTe,2
GdN,0
GdP,0
GdS,0
GdAs,0
GdSe,0
GdTe,0
DyN,0
DyP,0
DyS,0
DyAs,0
DySe,0
DyTe,0
YC,1
YN,0
YP,0
YS,0
YAs,0
YSe,0
YTe,0
HoN,0
HoP,0
HoS,0
HoAs,0
HoSe,0
HoTe,0
ErN,0
ErP,0
ErS,0
ErAs,0
ErSe,0
ErTe,0
TmN,2
TmP,2
TmS,2
TmAs,2
TmSe,2
TmTe,2
LuN,0
LuP,0
LuS,0
LuAs,0
LuSe,0
LuTe,0
HfB,1
HfC,1
HfN,0
MgO,2
MgS,2
MgSe,2
MgTe,2
ZrB,1
ZrC,1
ZrN,0
ZrO,0
ZrP,0
ZrS,0
ZrAs,0
ScC,1
ScN,0
ScO,0
ScP,0
ScS,0
ScAs,0
ScSe,0
TaC,1
TaN,0
TaO,0
TiC,1
MnN,2
MnO,2
MnSe,2
MnTe,2
BeO,0
BeSe,0
NbC,1
AlN,2
AlO,2
TlC,1
TlN,2
TlF,2
TlCl,2
TlBr,2
TlI,2
VC,1
VN,0
VO,0
ZnN,2
ZnO,2
ZnTe,2
CrC,1
CrN,0
CrO,0
CrTe,0
InN,2
InP,2
InAs,2
InTe,2
GaN,2
FeN,0
FeO,0
CoN,0
CuN,0
CuO,0
TcB,1
TcC,1
TcN,0
ReC,1
ReN,0
NiC,1
NiN,0
NiO,0
AgC,1
AgF,2
AgCl,2
AgBr,2
AgI,2
SnC,1
SnP,2
SnS,2
SnAs,2
SnSe,2
SnTe,2
HgS,2
HgSe,2
HgTe,2
GeC,1
GeSe,0
BiSe,2
BiTe,2
MoC,1
MoN,0
MoP,0
RuC,1
RuN,0
OsC,1
OsN,0
IrC,1
IrN,0
PdC,1
PdN,0
RhC,1
RhN,0
PtN,0
PtO,0
PbS,2
PbSe,2
WC,1
WN,0
AuN,0
