compound,result0
1_Ag-H,1
2_Ag-He,1
3_Ag-Li,1
4_Ag-Be,1
5_Ag-B,1
6_Ag-C,1
7_Ag-N,1
8_Ag-O,1
9_Ag-F,1
10_Ag-Ne,1
12_Ag-Mg,1
13_Ag-Al,1
14_Ag-Si,1
15_Ag-P,1
16_Ag-S,1
17_Ag-Cl,1
18_Ag-Ar,1
19_Ag-K,1
20_Ag-Ca,1
21_Ag-Sc,1
22_Ag-Ti,1
23_Ag-V,1
24_Ag-Cr,1
25_Ag-Mn,1
26_Ag-Fe,1
27_Ag-Co,1
28_Ag-Ni,1
29_Ag-Cu,1
30_Ag-Zn,1
31_Ag-Ga,1
32_Ag-Ge,1
33_Ag-As,1
34_Ag-Se,1
35_Ag-Br,1
36_Ag-Kr,1
37_Ag-Rb,1
38_Ag-Sr,1
39_Ag-Y,1
40_Ag-Zr,1
41_Ag-Nb,1
42_Ag-Mo,1
43_Ag-Ru,0
44_Ag-Rh,0
45_Ag-Pd,0
46_Ag-Ag,0
47_Ag-Cd,0
48_Ag-In,0
49_Ag-Sn,0
50_Ag-Sb,0
51_Ag-Te,0
52_Ag-I,0
53_Ag-Xe,0
54_Ag-Cs,0
55_Ag-Ba,0
56_Ag-La,0
57_Ag-Hf,0
58_Ag-Ta,0
59_Ag-W,0
60_Ag-Re,0
61_Ag-Os,0
62_Ag-Ir,0
63_Ag-Pt,0
64_Ag-Au,0
65_Ag-Tl,0
66_Ag-Pb,0
67_Ag-Bi,0
68_Al-H,1
69_Al-He,1
70_Al-Li,1
71_Al-Be,1
72_Al-B,1
73_Al-C,1
74_Al-N,1
75_Al-O,1
76_Al-F,1
77_Al-Ne,1
78_Al-Na,1
79_Al-Mg,1
80_Al-Al,1
81_Al-Si,1
82_Al-P,1
83_Al-S,1
84_Al-Cl,1
85_Al-Ar,1
86_Al-K,1
87_Al-Ca,1
88_Al-Sc,1
89_Al-Ti,1
90_Al-V,1
91_Al-Cr,1
92_Al-Mn,1
93_Al-Fe,1
94_Al-Co,1
95_Al-Mn,1
96_Al-Cu,1
97_Al-Zn,1
98_Al-Ga,1
99_Al-Ge,1
100_Al-As,1
101_Al-Se,1
102_Al-Br,1
103_Al-Kr,1
104_Al-Rb,1
105_Al-Sr,1
106_Al-Y,1
107_Al-Zr,1
108_Al-Nb,1
109_Al-Mo,1
110_Al-Ru,0
111_Al-Rh,0
112_Al-Pd,0
113_Al-Ag,0
114_Al-Cd,0
115_Al-In,0
116_Al-Sn,0
117_Al-Sb,0
118_Al-Te,0
119_Al-I,0
120_Al-Xe,0
121_Al-Cs,0
122_Al-Ba,0
123_Al-La,0
124_Al-Hf,0
125_Al-Ta,0
126_Al-W,0
127_Al-Re,0
128_Al-Os,0
129_Al-Ir,0
130_Al-Pt,0
131_Al-Au,0
132_Al-Tl,0
133_Al-Pb,0
134_Al-Bi,0
135_As-H,1
136_As-He,1
137_As-Li,1
138_As-Be,1
139_As-B,1
140_As-C,1
141_As-N,1
142_As-O,1
143_As-F,1
144_As-Ne,1
145_As-Na,1
146_As-Mg,1
147_As-Al,1
148_As-Si,1
149_As-P,1
150_As-S,1
151_As-Cl,1
152_As-Ar,1
153_As-K,1
154_As-Ca,1
155_As-Sc,1
156_As-Ti,1
157_As-V,1
158_As-Cr,1
159_As-Mn,1
160_As-Fe,1
161_As-Co,1
162_As-Ni,1
163_As-Cu,1
164_As-Zn,1
165_As-Ga,1
166_As-Ge,1
167_As-As,1
168_As-Se,1
169_As-Br,1
170_As-Kr,1
171_As-Rb,1
172_As-Sr,1
173_As-Y,1
174_As-Zr,1
175_As-Nb,1
176_As-Mo,1
177_As-Ru,0
178_As-Rh,0
179_As-Pd,0
180_As-Ag,0
181_As-Cd,0
182_As-In,0
183_As-Sn,0
184_As-Sb,0
185_As-Te,0
186_As-I,0
187_As-Xe,0
188_As-Cs,0
189_As-Ba,0
190_As-La,0
191_As-Hf,0
192_As-Ta,0
193_As-W,0
194_As-Re,0
195_As-Os,0
196_As-Ir,0
197_As-Pt,0
198_As-Au,0
199_As-Tl,0
200_As-Pb,0
201_As-Bi,0
202_Au-H,2
203_Au-He,2
204_Au-Li,2
205_Au-Be,2
206_Au-B,2
207_Au-C,2
208_Au-N,2
209_Au-O,2
210_Au-F,2
211_Au-Ne,2
212_Au-Na,2
213_Au-Mg,2
214_Au-Al,2
215_Au-Si,2
216_Au-P,2
217_Au-S,2
218_Au-Cl,2
219_Au-Ar,2
220_Au-K,2
221_Au-Ca,2
222_Au-Sc,2
223_Au-Ti,2
224_Au-V,2
225_Au-Cr,2
226_Au-Mn,2
227_Au-Fe,2
228_Au-Co,2
229_Au-Ni,2
230_Au-Cu,2
231_Au-Zn,2
232_Au-Ga,2
233_Au-Ge,2
234_Au-As,2
235_Au-Se,2
