compound,result0
LiF,1
LiCl,1
LiBr,1
LiI,1
BeO,0
BeS,1
BeSe,1
BeTe,1
BN,0
BP,0
BAs,0
CC,0
NaF,1
NaCl,1
NaBr,1
NaI,1
MgO,1
MgS,1
MgSe,1
MgTe,1
AlN,1
AlP,1
AlAs,1
AlSb,1
SiC,0
SiSi,1
KF,1
KCl,1
KBr,1
KI,1
CaO,1
CaS,1
CaSe,1
CaTe,1
CuF,1
CuCl,1
CuBr,1
CuI,1
ZnO,1
ZnS,1
ZnSe,1
ZnTe,1
GaN,1
GaP,1
GaAs,1
GaSb,1
GeGe,1
RbF,1
RbCl,1
RbBr,1
RbI,1
SrO,1
SrS,1
SrSe,1
SrTe,1
AgF,1
AgCl,1
AgBr,1
AgI,1
CdO,1
CdS,1
CdSe,1
CdTe,1
InN,1
InP,1
InAs,1
InSb,1
SnSn,1
BSb,0
CsF,1
CsCl,1
CsBr,1
CsI,1
BaO,1
BaS,1
BaSe,1
BaTe,1
GeC,0
SnC,1
GeSi,1
SnSi,1
SnGe,1
